Season,Event,Buyer ID,Resale Date,Seat Block,Qty,Primary Value / Ticket,Resale Value / Ticket,Mail CSZ
Football 2017,Michigan State,965812,10/2/17,"1:16:61:17,16",4,64.5,217,"Ashville, OH  43103"
Football 2017,Michigan State,965815,10/2/17,"1:2:8:19,19",2,155,268.16,"Allegan, MI  49010"
Football 2017,Michigan State,965816,10/2/17,"1:7:34:19,17",6,71.67,300,"Utica, MI  48316"
Football 2017,Michigan State,965821,10/2/17,"1:19:83:3,2",4,71.67,225,"Mishawaka, IN  46545"
Football 2017,Michigan State,965822,10/2/17,"1:8:91:9,8",4,125,195,"Windsor, CO  80550"
Football 2017,Michigan State,965823,10/2/17,"1:8:92:34,33",4,125,200,"Ada, MI  49301"
Football 2017,Michigan State,965824,10/2/17,"1:20:28:26,25",4,71.67,259,"Maspeth, NY  11378"
Football 2017,Michigan State,965825,10/2/17,"1:39:35:1,1",4,71.67,200,"Livonia, MI  48154"
Football 2017,Michigan State,965831,10/2/17,"1:8:56:26,25",4,71.67,190,"Canton, OH  44718"
Football 2017,Michigan State,965832,10/2/17,"1:37:55:6,6",2,71.67,237.5,"Frankfort, IL  60423"
Football 2017,Michigan State,965835,10/2/17,"1:3:34:4,3",4,71.67,277.78,"Acton, MA  01720"
Football 2017,Michigan State,965836,10/2/17,"1:8:94:15,14",4,125,200,"Utica, MI  48316"
Football 2017,Michigan State,965837,10/2/17,"1:10:88:27,26",4,125,199,"Newcastle, ON  L1B 1N6"
Football 2017,Michigan State,965839,10/2/17,"1:36:81:36,35",4,71.67,205,"Galesburg, MI  49053"
Football 2017,Michigan State,965842,10/2/17,"1:4:25:16,13",8,71.67,333.33,"Breckenridge, MI  48615"
Football 2017,Michigan State,965845,10/2/17,"1:35:11:8,7",4,71.67,230,"Watervliet, MI  49098"
Football 2017,Michigan State,965847,10/2/17,"1:6:71:27,27",2,140,197.31,"Clawson, MI  48017"
Football 2017,Michigan State,965852,10/2/17,"1:4:41:21,18",8,71.67,340,"Wellesley, MA 02482"
Football 2017,Michigan State,965853,10/2/17,"1:19:95:2,1",4,71.67,219,"Ann Arbor, MI  48108"
Football 2017,Michigan State,965855,10/2/17,"1:7:75:31,30",4,71.67,190,"Canton, MI  48188"
Football 2017,Michigan State,965856,10/2/17,"1:2:3:20,17",8,71.67,525,"Birmingham, MI  48009"
Football 2017,Michigan State,965858,10/2/17,"1:19:60:25,24",4,71.67,275,"Portage, MI  49002"
Football 2017,Michigan State,965861,10/2/17,"1:40:68:12,11",4,71.67,219,"South Lyon, MI  48178"
Football 2017,Michigan State,965863,10/2/17,"1:12:59:20,19",4,71.67,218,"Grand Rapids, MI  49506"
Football 2017,Michigan State,965866,10/2/17,"1:24:33:12,11",4,71.67,425,"Fairfield, CT  06824"
Football 2017,Michigan State,965867,10/2/17,"1:1:33:12,11",4,71.67,389,"San Francisco, CA  94127"
Football 2017,Michigan State,965869,10/2/17,"1:39:59:2,1",4,71.67,195,"Prospect, KY  40059"
Football 2017,Michigan State,965876,10/2/17,"1:1:62:22,22",2,71.67,190,"Adrian, MI  49221"
Football 2017,Michigan State,965876,10/2/17,"1:7:87:8,5",8,125,215,"Adrian, MI  49221"
Football 2017,Michigan State,965877,10/2/17,"1:3:40:12,12",2,71.67,240,"Walled Lake, MI  48390"
Football 2017,Michigan State,965880,10/2/17,"1:39:50:17,17",2,71.67,205,"Madison, WI  53719"
Football 2017,Michigan State,965882,10/2/17,"1:3:A:22,21",4,71.67,350,"Greenville, MI  48838"
Football 2017,Michigan State,965886,10/2/17,"1:34:95:24,23",4,125,205,"Lapeer, MI  48446"
Football 2017,Michigan State,965887,10/2/17,"1:37:19:2,1",4,71.67,224.44,"Caledonia, MI  49316"
Football 2017,Michigan State,965888,10/2/17,"1:9:11:24,24",2,71.67,275,"Columbiaville, MI  48421"
Football 2017,Michigan State,965888,10/2/17,"1:9:11:25,25",2,71.67,275,"Columbiaville, MI  48421"
Football 2017,Michigan State,965888,10/2/17,"1:9:11:26,26",2,71.67,275,"Columbiaville, MI  48421"
Football 2017,Michigan State,965888,10/2/17,"1:9:11:27,27",2,71.67,275,"Columbiaville, MI  48421"
Football 2017,Michigan State,965892,10/2/17,"1:35:5:28,27",4,71.67,230,"Weston, MA  02493"
Football 2017,Michigan State,965893,10/2/17,"1:38:32:18,18",2,71.67,185,"Los Angeles, CA  90028"
Football 2017,Michigan State,965898,10/3/17,"1:8:89:8,8",2,125,198,"Portland, OR  97203"
Football 2017,Michigan State,965900,10/3/17,"1:22:69:20,17",8,71.67,399,"Del Mar, CA  92014"
Football 2017,Michigan State,965904,10/3/17,"1:24:35:23,23",2,71.67,300,"Voorhees, NJ  08043"
Football 2017,Michigan State,965905,10/3/17,"1:9:41:9,7",6,71.67,281.25,"Scottsdale, AZ  85251"
Football 2017,Michigan State,965907,10/3/17,"1:17:66:25,23",6,71.67,250,"Taylor, MI  48180"
Football 2017,Michigan State,965909,10/3/17,"1:14:86:38,37",4,125,195,"New York, NY  10128"
Football 2017,Michigan State,965912,10/3/17,"1:34:38:12,11",4,71.67,210,"Dobbs Ferry, NY  10522"
Football 2017,Michigan State,965913,10/3/17,"1:2:16:18,17",4,71.67,345,"Hinsdale, IL  60521"
